reaction,system,force,ph,rate_type,shear,rate,rounded_rate,reaction_type,cat
hydrolysis,Triple Helix,0.0,12.0,exp,True,0.00025989346124104885,2.6e-04,hydrolysis exp,hydrolysis expFalse
hydrolysis,Fibril,0.6,7.4,theo,True,0.0009048108194493537,9.0e-04,hydrolysis theo,hydrolysis theoTrue
hydrolysis,Fibril,0.0,7.4,exp,True,5.084263978125673e-08,5.1e-08,hydrolysis exp,hydrolysis expFalse
hydrolysis,Fibril,0.2,7.4,theo,True,0.00018316582327633607,1.8e-04,hydrolysis theo,hydrolysis theoTrue
hydrolysis,Single Peptide,0.0,7.4,theo,True,2.9892122643468745e-06,3.0e-06,hydrolysis theo,hydrolysis theoFalse
hydrolysis,Fibril,0.9,7.4,exp,True,261.44787713331453,2.6e+02,hydrolysis exp,hydrolysis expTrue
hydrolysis,Single Peptide,1.0,7.4,theo,False,0.000676953952590221,6.8e-04,hydrolysis theo,hydrolysis theoFalse
homolysis,Triple Helix,2.0,12.0,theo,False,0.016334995288608514,1.6e-02,homolysis theo,homolysis theoFalse
hydrolysis,Triple Helix,3.0,12.0,exp,False,29237693.05957543,2.9e+07,hydrolysis exp,hydrolysis expFalse
homolysis,Fibril,0.4,7.4,theo,True,2.3196332096853246e-08,2.3e-08,homolysis theo,homolysis theoTrue
hydrolysis,Fibril,1.0,7.4,exp,False,113.76437407088129,1.1e+02,hydrolysis exp,hydrolysis expFalse
homolysis,Single Peptide,2.0,7.4,theo,False,1.3728568487108936e-05,1.4e-05,homolysis theo,homolysis theoFalse
hydrolysis,Single Peptide,1.0,7.0,theo,False,0.000269500222660699,2.7e-04,hydrolysis theo,hydrolysis theoFalse
hydrolysis,Triple Helix,1.0,7.4,theo,False,0.0007658977811359108,7.7e-04,hydrolysis theo,hydrolysis theoFalse
hydrolysis,Single Peptide,2.0,7.4,theo,False,0.009652771109635524,9.7e-03,hydrolysis theo,hydrolysis theoFalse
hydrolysis,Triple Helix,3.0,7.4,theo,False,0.0025423707208695433,2.5e-03,hydrolysis theo,hydrolysis theoFalse
homolysis,Single Peptide,0.0,7.0,theo,True,9.96487631169366e-23,1.0e-22,homolysis theo,homolysis theoFalse
